CustomerID,Lookalikes
C0001,"[('C0184', 0.9999999999942322), ('C0127', 0.9999999999370954), ('C0026', 0.9999999998665071)]"
C0002,"[('C0199', 0.9999999995004248), ('C0159', 0.9999999985250186), ('C0172', 0.9999999965845657)]"
C0003,"[('C0178', 0.9999999999974872), ('C0038', 0.9999999999924665), ('C0086', 0.9999999999923843)]"
C0004,"[('C0148', 0.9999999999938006), ('C0012', 0.9999999999902628), ('C0138', 0.9999999999638718)]"
C0005,"[('C0192', 0.9999999999583556), ('C0197', 0.9999999996378368), ('C0140', 0.9999999992765685)]"
C0006,"[('C0037', 0.9999999999990175), ('C0064', 0.9999999999395403), ('C0117', 0.9999999999315196)]"
C0007,"[('C0035', 0.9999999999993193), ('C0085', 0.9999999999961874), ('C0120', 0.9999999998515451)]"
C0008,"[('C0149', 0.9999999999749533), ('C0040', 0.999999999841162), ('C0022', 0.9999999998140594)]"
C0009,"[('C0198', 0.9999999991057021), ('C0077', 0.9999999968900781), ('C0144', 0.9999999391074632)]"
C0010,"[('C0029', 0.9999999997519455), ('C0062', 0.9999999996162864), ('C0036', 0.999999998763366)]"
C0011,"[('C0139', 0.9999999999981796), ('C0024', 0.9999999999710294), ('C0048', 0.9999999999645547)]"
C0012,"[('C0004', 0.9999999999902628), ('C0148', 0.9999999999685244), ('C0100', 0.9999999999621239)]"
C0013,"[('C0143', 0.9999999999992619), ('C0173', 0.9999999999847428), ('C0175', 0.9999999999841276)]"
C0014,"[('C0151', 0.9999991196381852), ('C0128', 0.9999982983786899), ('C0110', 0.9999978432015323)]"
C0015,"[('C0095', 0.9999999963625273), ('C0080', 0.9999999917322799), ('C0123', 0.9999999887963598)]"
C0016,"[('C0048', 0.9999999999987617), ('C0117', 0.9999999999514135), ('C0011', 0.9999999999500663)]"
C0017,"[('C0153', 0.9999999999999197), ('C0187', 0.9999999999792126), ('C0126', 0.9999999999623848)]"
C0018,"[('C0162', 0.9999999999996058), ('C0105', 0.9999999999993799), ('C0168', 0.9999999999366698)]"
C0019,"[('C0061', 0.999999999948227), ('C0142', 0.9999999999408755), ('C0167', 0.9999999997402856)]"
C0020,"[('C0157', 0.9999998481468206), ('C0140', 0.9999998462679351), ('C0197', 0.9999998400376711)]"
